text,label
"The author critically examines social inequalities.",C1
"The policy aims to reduce environmental damage.",C1
"The findings reveal significant behavioral patterns.",C1
"The project requires careful strategic planning.",C1
"The theory challenges traditional perspectives.",C1
"The conference gathered experts from various disciplines.",C1
"The government introduced reforms to stabilize the economy.",C1
"The innovation has transformed the industry.",C1
"The analysis highlights underlying structural issues.",C1
"The results contribute to ongoing academic discussions.",C1
"The initiative encourages sustainable development.",C1
"The research explores cognitive processes.",C1
"The scholar presented a thought-provoking argument.",C1
"The study investigates linguistic variation.",C1
"The findings have important practical implications.",C1
"The philosophical discourse challenges conventional assumptions.",C2
"A comprehensive examination revealed numerous inconsistencies.",C2
"The theoretical framework offers a sophisticated interpretation.",C2
"The intricate dynamics of global politics are difficult to predict.",C2
"The narrative structure reflects profound psychological depth.",C2
"The hypothesis provoked considerable academic debate.",C2
"The research demonstrates remarkable methodological rigor.",C2
"The complexity of the issue demands nuanced analysis.",C2
"The author articulates a compelling critique of modern capitalism.",C2
"The discourse integrates multiple philosophical traditions.",C2
"The implications extend far beyond the original scope of the study.",C2
"The historical context provides essential insight.",C2
"The scholar meticulously evaluated the primary sources.",C2
"The theoretical implications remain controversial.",C2
"The analysis reveals subtle ideological influences.",C2
"The argument challenges deeply rooted assumptions.",C2
"The phenomenon illustrates the paradox of progress.",C2
"The intellectual debate continues to evolve.",C2
"The conceptual framework integrates diverse perspectives.",C2
"The profound implications of the discovery transformed the field.",C2
"I like to draw pictures.",A1
"The boy has a blue hat.",A1
"I see a yellow flower.",A1
"The dog runs fast.",A1
"My house is near the park.",A1
"I read a story.",A1
"The girl is smiling.",A1
"My bag is heavy.",A1
"I like cold water.",A1
"The sun is bright.",A1
"We watched a movie together.",A2
"I bought some fruit at the market.",A2
"She helped me with my homework.",A2
"They visited the museum.",A2
"I learned a new word today.",A2
"We walked along the beach.",A2
"I practiced the guitar yesterday.",A2
"He borrowed my book.",A2
"I prepared dinner for my family.",A2
"They traveled by train.",A2
"I have been reading this book for weeks.",B1
"We were talking when the teacher arrived.",B1
"I believe this solution is better.",B1
"They have visited many countries.",B1
"I am planning to start a business.",B1
"She admitted that she was wrong.",B1
"We managed to finish early.",B1
"I will explain everything tomorrow.",B1
"He promised to help me.",B1
"I was feeling tired after work.",B1
"The strategy proved highly effective.",B2
"The committee reviewed the proposal.",B2
"The program aims to support students.",B2
"The system improves overall efficiency.",B2
"The discussion covered several topics.",B2
"The policy encourages innovation.",B2
"The analysis identifies key factors.",B2
"The initiative received strong support.",B2
"The solution addresses the problem.",B2
"The study confirms previous findings.",B2
"The research contributes to theoretical development.",C1
"The proposal sparked international debate.",C1
"The framework supports long-term sustainability.",C1
"The argument reflects sophisticated reasoning.",C1
"The concept challenges existing models.",C1
"The methodology ensures accurate results.",C1
"The analysis reveals emerging patterns.",C1
"The initiative promotes global cooperation.",C1
"The policy strengthens institutional structures.",C1
"The findings enrich academic literature.",C1
"The philosophical inquiry explores the nature of consciousness.",C2
"The intricate argumentation demands careful interpretation.",C2
"The discourse reflects profound intellectual tradition.",C2
"The analysis synthesizes complex theoretical ideas.",C2
"The interpretation offers remarkable insight.",C2
"The scholar proposes an innovative perspective.",C2
"The narrative evokes deep existential reflection.",C2
"The complexity of the phenomenon defies simple explanation.",C2
"The conceptual analysis expands theoretical boundaries.",C2
"The profound investigation reshapes contemporary thought.",C2
